Date_start,Date_end,zodiac,key
1938-03-19,1938-04-20,Aries,0
1938-04-21,1938-05-20,Taurus,0
1938-05-21,1938-06-20,Gemini,0
1938-06-21,1938-07-22,Cancer,0
1938-07-23,1938-08-22,Leo,0
1938-08-23,1938-09-22,Virgo,0
1938-09-23,1938-10-22,Libra,0
1938-10-23,1938-11-21,Scorpio,0
1938-11-22,1938-12-21,Sagittarius,0
1938-12-22,1938-01-19,Capricorn,0
1938-01-20,1938-02-18,Aquarius,0
1938-02-19,1938-03-20,Pisces,0
1939-03-19,1939-04-20,Aries,0
1939-04-21,1939-05-20,Taurus,0
1939-05-21,1939-06-20,Gemini,0
1939-06-21,1939-07-22,Cancer,0
1939-07-23,1939-08-22,Leo,0
1939-08-23,1939-09-22,Virgo,0
1939-09-23,1939-10-22,Libra,0
1939-10-23,1939-11-21,Scorpio,0
1939-11-22,1939-12-21,Sagittarius,0
1939-12-22,1939-01-19,Capricorn,0
1939-01-20,1939-02-18,Aquarius,0
1939-02-19,1939-03-20,Pisces,0
1940-03-19,1940-04-20,Aries,0
1940-04-21,1940-05-20,Taurus,0
1940-05-21,1940-06-20,Gemini,0
1940-06-21,1940-07-22,Cancer,0
1940-07-23,1940-08-22,Leo,0
1940-08-23,1940-09-22,Virgo,0
1940-09-23,1940-10-22,Libra,0
1940-10-23,1940-11-21,Scorpio,0
1940-11-22,1940-12-21,Sagittarius,0
1940-12-22,1940-01-19,Capricorn,0
1940-01-20,1940-02-18,Aquarius,0
1940-02-19,1940-03-20,Pisces,0
1941-03-19,1941-04-20,Aries,0
1941-04-21,1941-05-20,Taurus,0
1941-05-21,1941-06-20,Gemini,0
1941-06-21,1941-07-22,Cancer,0
1941-07-23,1941-08-22,Leo,0
1941-08-23,1941-09-22,Virgo,0
1941-09-23,1941-10-22,Libra,0
1941-10-23,1941-11-21,Scorpio,0
1941-11-22,1941-12-21,Sagittarius,0
1941-12-22,1941-01-19,Capricorn,0
1941-01-20,1941-02-18,Aquarius,0
1941-02-19,1941-03-20,Pisces,0
1942-03-19,1942-04-20,Aries,0
1942-04-21,1942-05-20,Taurus,0
1942-05-21,1942-06-20,Gemini,0
1942-06-21,1942-07-22,Cancer,0
1942-07-23,1942-08-22,Leo,0
1942-08-23,1942-09-22,Virgo,0
1942-09-23,1942-10-22,Libra,0
1942-10-23,1942-11-21,Scorpio,0
1942-11-22,1942-12-21,Sagittarius,0
1942-12-22,1942-01-19,Capricorn,0
1942-01-20,1942-02-18,Aquarius,0
1942-02-19,1942-03-20,Pisces,0
1943-03-19,1943-04-20,Aries,0
1943-04-21,1943-05-20,Taurus,0
1943-05-21,1943-06-20,Gemini,0
1943-06-21,1943-07-22,Cancer,0
1943-07-23,1943-08-22,Leo,0
1943-08-23,1943-09-22,Virgo,0
1943-09-23,1943-10-22,Libra,0
1943-10-23,1943-11-21,Scorpio,0
1943-11-22,1943-12-21,Sagittarius,0
1943-12-22,1943-01-19,Capricorn,0
1943-01-20,1943-02-18,Aquarius,0
1943-02-19,1943-03-20,Pisces,0
1944-03-19,1944-04-20,Aries,0
1944-04-21,1944-05-20,Taurus,0
1944-05-21,1944-06-20,Gemini,0
1944-06-21,1944-07-22,Cancer,0
1944-07-23,1944-08-22,Leo,0
1944-08-23,1944-09-22,Virgo,0
1944-09-23,1944-10-22,Libra,0
1944-10-23,1944-11-21,Scorpio,0
1944-11-22,1944-12-21,Sagittarius,0
1944-12-22,1944-01-19,Capricorn,0
1944-01-20,1944-02-18,Aquarius,0
1944-02-19,1944-03-20,Pisces,0
1945-03-19,1945-04-20,Aries,0
1945-04-21,1945-05-20,Taurus,0
1945-05-21,1945-06-20,Gemini,0
1945-06-21,1945-07-22,Cancer,0
1945-07-23,1945-08-22,Leo,0
1945-08-23,1945-09-22,Virgo,0
1945-09-23,1945-10-22,Libra,0
1945-10-23,1945-11-21,Scorpio,0
1945-11-22,1945-12-21,Sagittarius,0
1945-12-22,1945-01-19,Capricorn,0
1945-01-20,1945-02-18,Aquarius,0
1945-02-19,1945-03-20,Pisces,0
1946-03-19,1946-04-20,Aries,0
1946-04-21,1946-05-20,Taurus,0
1946-05-21,1946-06-20,Gemini,0
1946-06-21,1946-07-22,Cancer,0
1946-07-23,1946-08-22,Leo,0
1946-08-23,1946-09-22,Virgo,0
1946-09-23,1946-10-22,Libra,0
1946-10-23,1946-11-21,Scorpio,0
1946-11-22,1946-12-21,Sagittarius,0
1946-12-22,1946-01-19,Capricorn,0
1946-01-20,1946-02-18,Aquarius,0
1946-02-19,1946-03-20,Pisces,0
1947-03-19,1947-04-20,Aries,0
1947-04-21,1947-05-20,Taurus,0
1947-05-21,1947-06-20,Gemini,0
1947-06-21,1947-07-22,Cancer,0
1947-07-23,1947-08-22,Leo,0
1947-08-23,1947-09-22,Virgo,0
1947-09-23,1947-10-22,Libra,0
1947-10-23,1947-11-21,Scorpio,0
1947-11-22,1947-12-21,Sagittarius,0
1947-12-22,1947-01-19,Capricorn,0
1947-01-20,1947-02-18,Aquarius,0
1947-02-19,1947-03-20,Pisces,0
1948-03-19,1948-04-20,Aries,0
